Anno;Comune;Provincia;Indice di dipendenza totale (o carico sociale) x 100
1995;AFFI;VERONA;45.99
1995;ALBAREDO D'ADIGE;VERONA;47.86
1995;ANGIARI;VERONA;46.56
1995;ARCOLE;VERONA;41.77
1995;BADIA CALAVENA;VERONA;50.87
1995;BARDOLINO;VERONA;42.75
1995;BELFIORE;VERONA;45.06
1995;BEVILACQUA;VERONA;44.96
1995;BONAVIGO;VERONA;50.71
1995;BOSCHI SANT'ANNA;VERONA;42.50
1995;BOSCO CHIESANUOVA;VERONA;46.27
1995;BOVOLONE;VERONA;39.97
1995;BRENTINO BELLUNO;VERONA;50.83
1995;BRENZONE;VERONA;62.40
1995;BUSSOLENGO;VERONA;36.54
1995;BUTTAPIETRA;VERONA;38.69
1995;CALDIERO;VERONA;42.54
1995;CAPRINO VERONESE;VERONA;48.36
1995;CASALEONE;VERONA;44.67
1995;CASTAGNARO;VERONA;48.23
1995;CASTEL D'AZZANO;VERONA;35.26
1995;CASTELNUOVO DEL GARDA;VERONA;44.59
1995;CAVAION VERONESE;VERONA;41.46
1995;CAZZANO DI TRAMIGNA;VERONA;55.58
1995;CEREA;VERONA;43.72
1995;CERRO VERONESE;VERONA;44.95
1995;COLOGNA VENETA;VERONA;52.15
1995;COLOGNOLA AI COLLI;VERONA;41.85
1995;CONCAMARISE;VERONA;51.00
1995;COSTERMANO SUL GARDA;VERONA;45.44
1995;DOLCE';VERONA;44.16
1995;ERBE';VERONA;52.81
1995;ERBEZZO;VERONA;61.72
1995;FERRARA DI MONTE BALDO;VERONA;43.66
1995;FUMANE;VERONA;47.44
1995;GARDA;VERONA;43.18
1995;GAZZO VERONESE;VERONA;48.33
1995;GREZZANA;VERONA;42.50
1995;ILLASI;VERONA;46.29
1995;ISOLA DELLA SCALA;VERONA;46.11
1995;ISOLA RIZZA;VERONA;48.59
1995;LAVAGNO;VERONA;38.48
1995;LAZISE;VERONA;42.45
1995;LEGNAGO;VERONA;44.60
1995;MALCESINE;VERONA;46.31
1995;MARANO DI VALPOLICELLA;VERONA;47.95
1995;MEZZANE DI SOTTO;VERONA;66.22
1995;MINERBE;VERONA;47.70
1995;MONTECCHIA DI CROSARA;VERONA;43.80
1995;MONTEFORTE D'ALPONE;VERONA;46.46
1995;MOZZECANE;VERONA;41.58
1995;NEGRAR;VERONA;40.89
1995;NOGARA;VERONA;45.53
1995;NOGAROLE ROCCA;VERONA;43.73
1995;OPPEANO;VERONA;43.55
1995;PALU';VERONA;46.89
1995;PASTRENGO;VERONA;39.70
1995;PESCANTINA;VERONA;42.08
1995;PESCHIERA DEL GARDA;VERONA;40.80
1995;POVEGLIANO VERONESE;VERONA;41.91
1995;PRESSANA;VERONA;47.37
1995;RIVOLI VERONESE;VERONA;43.20
1995;RONCA';VERONA;48.62
1995;RONCO ALL'ADIGE;VERONA;48.16
1995;ROVERCHIARA;VERONA;49.17
1995;ROVEREDO DI GUA';VERONA;57.78
1995;ROVERE' VERONESE;VERONA;53.80
1995;SALIZZOLE;VERONA;46.56
1995;SAN BONIFACIO;VERONA;40.00
1995;SAN GIOVANNI ILARIONE;VERONA;46.83
1995;SAN GIOVANNI LUPATOTO;VERONA;41.07
1995;SANGUINETTO;VERONA;43.73
1995;SAN MARTINO BUON ALBERGO;VERONA;38.09
1995;SAN MAURO DI SALINE;VERONA;62.20
1995;SAN PIETRO DI MORUBIO;VERONA;49.25
1995;SAN PIETRO IN CARIANO;VERONA;40.39
1995;SANT'AMBROGIO DI VALPOLICELLA;VERONA;42.57
1995;SANT'ANNA D'ALFAEDO;VERONA;53.15
1995;SAN ZENO DI MONTAGNA;VERONA;51.46
1995;SELVA DI PROGNO;VERONA;57.39
1995;SOAVE;VERONA;46.74
1995;SOMMACAMPAGNA;VERONA;40.58
1995;SONA;VERONA;39.22
1995;SORGA';VERONA;52.04
1995;TERRAZZO;VERONA;50.94
1995;TORRI DEL BENACO;VERONA;44.56
1995;TREGNAGO;VERONA;50.47
1995;TREVENZUOLO;VERONA;47.76
1995;VALEGGIO SUL MINCIO;VERONA;43.82
1995;VELO VERONESE;VERONA;57.31
1995;VERONA;VERONA;45.95
1995;VERONELLA;VERONA;45.08
1995;VESTENANOVA;VERONA;59.68
1995;VIGASIO;VERONA;44.01
1995;VILLA BARTOLOMEA;VERONA;49.92
1995;VILLAFRANCA DI VERONA;VERONA;42.23
1995;ZEVIO;VERONA;43.53
1995;ZIMELLA;VERONA;45.52
1995;AGUGLIARO;VICENZA;44.67
1995;ALBETTONE;VICENZA;48.06
1995;ALONTE;VICENZA;42.79
1995;ALTAVILLA VICENTINA;VICENZA;33.70
1995;ALTISSIMO;VICENZA;43.87
1995;ARCUGNANO;VICENZA;39.74
1995;ARSIERO;VICENZA;46.98
1995;ARZIGNANO;VICENZA;42.66
1995;ASIAGO;VICENZA;51.46
1995;ASIGLIANO VENETO;VICENZA;45.21
1995;BARBARANO VICENTINO;VICENZA;43.95
1995;BASSANO DEL GRAPPA;VICENZA;45.07
1995;BOLZANO VICENTINO;VICENZA;40.66
1995;BREGANZE;VICENZA;47.26
1995;BRENDOLA;VICENZA;39.75
1995;BRESSANVIDO;VICENZA;44.67
1995;BROGLIANO;VICENZA;42.83
1995;CALDOGNO;VICENZA;35.67
1995;CALTRANO;VICENZA;43.42
1995;CALVENE;VICENZA;40.86
1995;CAMISANO VICENTINO;VICENZA;44.81
1995;CAMPIGLIA DEI BERICI;VICENZA;51.89
1995;CAMPOLONGO SUL BRENTA;VICENZA;42.58
1995;CARRE';VICENZA;40.68
